t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-02-08,-5.017741,4.198523,-3.122557,,5.29369,-8.136887,3.660137,-6.828463,-5.255467,,,-1.49984,-3.56041,,,-8.477994,-0.206606,,3.008328,,-4.399199,,,,1.422984,,,,0.640488,,,,,-1.401184,,,1.285921,4.391776,0.671961,1.785272,,,,1.538077,,-0.194648,0.388389,-4.801081,0.34679,-0.692905,,-0.875724,-6.164858,1.817983,,-8.311416
2005-02-09,0.230032,6.751744,-1.646245,,8.163548,-2.599479,5.348878,-2.928543,-6.929467,,,-3.63301,-0.730715,,,-2.943941,-2.866036,,4.211027,,-0.091231,,,,4.526109,,,,0.47658,,,,,-1.850616,,,0.765888,6.214581,1.815156,2.509228,,,,1.909112,,0.448178,0.560631,-3.380853,0.407447,-3.083132,,-0.544291,-7.55724,-1.463165,,-3.826283
2005-02-10,-0.463584,10.470589,-0.029824,,4.554504,-3.119729,1.662909,-2.830185,-8.716799,,,-0.133729,-0.831676,,,-4.175029,-3.471888,,5.759847,,0.670996,,,,1.652123,,,,1.865002,,,,,-2.317709,,,2.21905,7.482708,3.692098,2.513016,,,,2.845102,,0.685195,-0.165564,2.076013,2.19918,-5.356815,,-1.704189,-1.877641,-2.292757,,-0.632419
2005-02-11,-1.222067,11.197756,1.342627,,0.614105,-2.687871,0.324426,-4.147413,-14.438428,,,-0.681942,-2.491758,,,-4.135994,-4.810559,,1.559406,,0.317812,,,,0.289832,,,,-0.627139,,,,,-6.509524,,,0.138752,2.607323,2.596349,-0.590267,,,,0.453758,,-2.059756,-1.753997,-0.111543,2.27436,-3.268977,,-3.883064,-1.70593,-1.525013,,-2.33907
2005-02-14,-1.07524,13.662115,3.752827,,-0.208688,-1.277395,-3.349349,-1.717535,-2.610073,,,-1.140997,-2.263012,,,-2.799745,-1.92684,,2.845525,,0.799201,,,,0.541029,,,,-2.346982,,,,,0.849492,,,-0.449826,1.367638,-2.153514,-1.812984,,,,0.376092,,2.588383,-1.236866,-0.339126,1.698993,-5.485689,,-3.18181,-1.359627,-0.327767,,-0.663146
2005-02-15,-1.369513,1.345322,2.030151,,-1.44936,2.456901,-4.581647,0.650253,0.164272,,,0.84522,-2.499206,,,-3.511194,-2.237542,,4.34948,,0.197511,,,,-1.295975,,,,-1.769196,,,,,1.940023,,,-1.849349,0.252021,-4.376245,-3.209561,,,,-3.152063,,3.305095,-0.57619,-1.124077,4.183486,-4.881632,,-2.855406,-1.1646,0.297228,,-2.680273
2005-02-16,-1.647063,-0.02916,4.375083,,-3.105503,0.495347,-0.343455,0.745822,-1.05247,,,-0.83815,-2.631177,,,-3.616101,-0.777338,,0.8729,,-1.186655,,,,1.009829,,,,0.586997,,,,,0.376057,,,-3.339465,-0.049807,-0.90203,-4.375505,,,,-2.998513,,3.295372,-1.78743,-1.540466,2.026817,-2.428117,,-0.719067,-0.467567,-0.858049,,-3.520551
2005-02-17,-1.543124,-2.690049,4.535746,,-6.184592,-0.389886,-2.494937,3.436865,0.805781,,,-0.391659,-3.111902,,,-2.439241,1.330703,,1.112004,,-2.678966,,,,1.228545,,,,-1.725039,,,,,-0.126757,,,-3.891852,-0.838065,-2.479665,-8.580949,,,,-3.521962,,3.456773,2.158979,0.580948,-1.088206,-2.016189,,-1.658366,2.228464,-1.038059,,-2.618348
2005-02-18,-2.639092,-0.081603,4.025126,,-5.428525,0.212019,-3.283662,-0.140765,0.627692,,,-0.810469,-5.623761,,,-4.397316,4.644381,,1.292909,,-8.535809,,,,1.112499,,,,-0.28659,,,,,1.320154,,,-2.520376,-4.243641,-1.08078,-1.444517,,,,-3.289753,,2.51555,1.86856,-1.55099,-3.077182,-2.028558,,-2.67828,4.508753,-3.212721,,-4.146329
2005-02-22,0.469884,0.894055,5.657002,,-0.136027,-2.355834,-4.048849,-1.484551,0.77718,,,1.238853,-6.755017,,,0.399587,5.979033,,3.489637,,-0.768163,,,,3.522235,,,,-1.02673,,,,,1.451144,,,-5.205202,-0.804942,-0.181309,-1.626793,,,,-3.843644,,2.569194,3.085367,-1.21009,-3.585222,-3.076537,,-4.39257,3.942189,-4.529104,,-5.327422
2005-02-23,-0.776353,3.023763,-2.153832,,1.459147,-4.823659,-5.114255,-0.983756,-0.46144,,,-2.696433,-0.878853,,,0.090975,0.122746,,1.400502,,-0.731089,,,,0.839616,,,,-1.020686,,,,,2.964869,,,-0.11271,-0.823737,-2.173311,-0.978334,,,,0.221645,,0.730204,5.427746,-2.09894,-2.334845,-4.948697,,-5.273773,2.287168,-4.574731,,-6.95776
2005-02-24,-2.955614,3.99297,-2.181806,,0.380605,-2.503939,-4.482595,-2.246794,-2.207954,,,-2.531793,-1.317403,,,0.149544,-2.048531,,1.407771,,-2.17101,,,,-0.743617,,,,0.643192,,,,,1.157526,,,0.692827,-0.511274,-2.095328,-2.074399,,,,0.796574,,2.078873,2.716567,-2.043503,-1.10968,-3.094216,,-6.64439,3.9218,1.794319,,-8.56788
2005-02-25,-4.777794,4.674568,-0.758997,,-1.171024,-2.891578,-5.699693,-3.623098,0.628762,,,-3.576883,-2.441757,,,0.514534,-3.992049,,0.693754,,-1.05971,,,,-1.306202,,,,-1.379394,,,,,-1.679286,,,0.443066,-2.185125,-2.362835,-3.078916,,,,0.410374,,1.895691,0.765165,-2.966883,-1.563647,-4.295223,,-7.093505,3.684482,2.468616,,-8.867716
2005-02-28,-2.568564,6.81758,-0.583028,,1.893004,-1.99693,-3.107786,-2.365078,0.664937,,,-3.347542,1.145521,,,2.603969,-1.877495,,2.318828,,-1.107981,,,,-1.668661,,,,0.775749,,,,,0.199787,,,1.635419,-0.853868,-0.464683,-1.30597,,,,-0.57138,,2.211468,1.987165,-3.373169,-2.534419,0.089011,,-5.510363,0.305004,4.617671,,-8.423733
