t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2015-05-14,,,51.022227,,93.08414,37.033516,45.043353,45.397522,18.410467,75.825893,22.514456,,55.130104,101.794,61.535,,27.922312,,93.70763,80.143237,62.722799,39.424683,39.424683,,40.182949,,85.97,85.855823,85.855823,29.299844,71.268161,39.424683,95.742125,77.448097,,132.64,50.528545,,,95.184275,82.801758,44.63,,37.195355,262.19,,115.736914,,116.403921,73.510898,72.49,29.898452,41.30572,46.6354,47.28,
2015-05-15,,,51.176606,,93.784689,37.580281,45.218166,45.758905,18.528545,75.581797,22.524182,,55.421079,93.0887,61.75,,27.897698,,93.766125,80.153047,63.354106,39.818438,39.818438,,40.202315,,85.44,85.461385,85.461385,28.938828,71.505986,39.818438,95.849865,77.820868,,132.32,50.739881,,,95.397954,82.591868,43.79,,37.475637,262.06,,115.873812,,117.335074,73.461951,71.99,29.668021,41.691847,45.9425,47.22,
2015-05-18,,,51.263444,,93.824156,37.609572,45.208454,45.700302,18.617105,75.523214,22.728417,,55.139803,89.2964,61.47,,27.430029,,92.869214,80.368855,62.781073,39.375464,39.375464,,40.008662,,85.49,85.21721,85.21721,29.397421,71.178977,39.375464,95.791098,77.497146,,131.26,49.904142,,,95.232839,82.076682,44.41,,36.900575,263.95,,116.040044,,117.889802,74.059426,72.1,29.860047,41.771053,46.1157,47.63,
2015-05-19,,,50.943353,,94.090562,37.619335,44.81027,45.631932,18.321907,75.650144,22.777044,,55.149502,87.9138,61.75,,27.464489,,92.859465,80.211904,62.344014,39.621561,39.621561,,39.998979,,85.07,85.442603,85.442603,29.387623,71.347436,39.621561,95.26219,78.095541,,130.3,49.740837,,,95.135712,81.723685,43.33,,36.765267,263.21,,116.626747,,118.385096,74.137801,72.19,29.869648,42.533407,46.3755,47.3,
2015-05-20,,,50.856055,,93.84389,37.98059,44.9171,45.612398,18.597425,75.572033,22.864573,,55.256193,88.4175,61.95,,28.621355,,92.693732,80.162856,62.382864,40.025159,40.025159,,40.03771,,85.45,85.198427,85.198427,29.485695,71.099702,40.025159,95.02712,77.703151,,129.24,49.76005,,,94.883182,81.485173,42.83,,36.591299,263.2,,117.223228,,118.395002,74.000669,72.19,29.754432,42.988839,49.2914,47.56,
2015-05-21,,,51.331345,,93.557751,37.961063,43.984767,45.837042,18.370265,75.855184,22.728417,,55.110705,89.8593,61.97,,28.316139,,92.218232,80.535616,62.120629,39.680624,39.680624,,39.921518,,85.75,84.66312,84.66312,29.583767,71.347436,39.680624,95.73233,77.869917,,130.21,49.606351,,,94.407261,81.22758,42.45,,36.480152,263.6,,116.636525,,117.889802,73.530517,70.75,29.5144,43.058144,49.7726,47.5,
2015-05-22,,,51.08885,,93.242011,37.931772,43.508888,46.794218,18.557919,75.240063,22.48528,,54.81973,89.6322,62.23,,28.020769,,91.69861,80.721995,61.848681,39.54281,39.54281,,39.902153,,85.0,84.024507,84.024507,29.299349,71.357345,39.54281,95.98699,77.281331,,129.41,49.212497,,,93.494269,80.283073,42.75,,36.277189,263.01,,117.721926,,117.166674,72.717535,70.05,29.533603,42.523506,49.4935,47.8,
2015-05-26,,,50.58446,,92.965738,37.531462,43.110704,46.628178,18.311006,74.634706,22.300496,,54.295975,88.7434,62.06,,27.868161,,91.178988,80.104,61.188237,39.316401,39.316401,,39.689135,,85.0,83.21685,83.21685,28.87757,71.466348,39.316401,95.585411,76.869321,,127.655,49.260528,,,93.037773,79.872833,44.0,,36.451158,262.25,,116.822315,,116.38411,72.13958,70.35,29.29357,42.711619,48.4638,47.6,
2015-05-27,,,51.57384,,92.699332,37.785317,43.73226,46.999328,18.2715,75.542742,22.446378,,54.771234,87.5682,62.69,,28.764117,,91.639785,80.712186,61.421335,39.513278,39.513278,,39.815009,,84.33,85.583473,85.583473,29.456303,72.160004,39.513278,95.722536,77.33038,,130.035,49.788868,,,93.610821,80.349857,43.49,,37.272674,262.04,,117.242785,,117.12705,71.873639,71.05,29.130348,42.305691,49.3973,49.15,
2015-05-28,,,51.07915,,93.587351,37.785317,43.363211,47.26304,17.975206,75.171716,21.045911,,54.557853,87.1238,63.25,,28.650892,,91.561351,80.408093,61.235359,39.838126,39.838126,,39.834374,,85.14,85.996693,85.996693,29.613159,72.52,39.838126,94.89979,77.369619,,129.2,49.587138,,,94.271283,80.388019,42.63,,37.103538,263.85,,116.85165,,117.909614,73.420137,70.71,29.495197,42.027819,49.5705,48.63,
